Location,Row  ,Distanceft,Distancem,Rep,Type,Injury,Height
N,1,2.5,0.762,1,Covered,35,58
N,1,2.5,0.762,2,Covered,30,63
N,1,2.5,0.762,3,Covered,30,64
N,2,5,1.524,1,Covered,20,63
N,2,5,1.524,2,Covered,25,68
N,2,5,1.524,3,Covered,25,65
N,3,7.5,2.286,1,Covered,25,71
N,3,7.5,2.286,2,Covered,27,68
N,3,7.5,2.286,3,Covered,25,64
N,4,10,3.048,1,Covered,15,67
N,4,10,3.048,2,Covered,18,64
N,4,10,3.048,3,Covered,17,63
N,5,12.5,3.81,1,Covered,12,71
N,5,12.5,3.81,2,Covered,14,70
N,5,12.5,3.81,3,Covered,15,65
N,6,15,4.572,1,Covered,10,66
N,6,15,4.572,2,Covered,12,68
N,6,15,4.572,3,Covered,8,71
N,7,17.5,5.334,1,Covered,13,64
N,7,17.5,5.334,2,Covered,17,71
N,7,17.5,5.334,3,Covered,15,65
N,8,20,6.096,1,Covered,8,71
N,8,20,6.096,2,Covered,9,63
N,8,20,6.096,3,Covered,6,68
N,9,22.5,6.858,1,Covered,12,69
N,9,22.5,6.858,2,Covered,14,67
N,9,22.5,6.858,3,Covered,14,69
N,10,25,7.62,1,Covered,10,60
N,10,25,7.62,2,Covered,8,60
N,10,25,7.62,3,Covered,9,60
N,11,27.5,8.382,1,Covered,12,64
N,11,27.5,8.382,2,Covered,6,67
N,11,27.5,8.382,3,Covered,17,72
N,12,30,9.144,1,Covered,12,61
N,12,30,9.144,2,Covered,10,58
N,12,30,9.144,3,Covered,5,63
N,13,32.5,9.906,1,Covered,5,57
N,13,32.5,9.906,2,Covered,5,57
N,13,32.5,9.906,3,Covered,7,64
N,14,35,10.668,1,Covered,6,56
N,14,35,10.668,2,Covered,5,60
N,14,35,10.668,3,Covered,4,54
N,15,37.5,11.43,1,Covered,4,59
N,15,37.5,11.43,2,Covered,4,59
N,15,37.5,11.43,3,Covered,4,58
N,16,40,12.192,1,Covered,10,66
N,16,40,12.192,2,Covered,5,58
N,16,40,12.192,3,Covered,7,63
N,17,42.5,12.954,1,Covered,3,64
N,17,42.5,12.954,2,Covered,5,64
N,17,42.5,12.954,3,Covered,10,62
