Day,Date and Time   ,rh,temp ,temp ,rainfall,dir,wgt,spd
0 to 24 h,7/14/19 11:45,54.4,82.2,27.9,0,165,2.8224,0.9408
0 to 24 h,7/14/19 12:00,53.5,82.9,28.3,0,160,3.2928,0.4704
0 to 24 h,7/14/19 12:15,53,83.7,28.7,0,168,1.8816,0.4704
0 to 24 h,7/14/19 12:30,54.1,83.3,28.5,0,124,2.8224,0.4704
0 to 24 h,7/14/19 12:45,53.1,84.8,29.3,0,138,2.352,0.4704
0 to 24 h,7/14/19 13:00,54.3,83.9,28.8,0,166,3.2928,0.9408
0 to 24 h,7/14/19 13:15,55,84.6,29.2,0,136,2.8224,0.4704
0 to 24 h,7/14/19 13:30,53.5,86,30,0,172,1.8816,0.4704
0 to 24 h,7/14/19 13:45,53.2,86.1,30.1,0,163,1.8816,0.4704
0 to 24 h,7/14/19 14:00,54.1,86.1,30.1,0,165,2.8224,0.4704
0 to 24 h,7/14/19 14:15,54,86.3,30.2,0,186,2.8224,0.9408
0 to 24 h,7/14/19 14:30,54.3,86.3,30.2,0,180,2.8224,0.9408
0 to 24 h,7/14/19 14:45,53.3,87.4,30.8,0,176,2.352,0.9408
0 to 24 h,7/14/19 15:00,53.4,87.2,30.7,0,170,2.8224,0.9408
0 to 24 h,7/14/19 15:15,51.4,88.9,31.6,0,168,1.8816,0.4704
0 to 24 h,7/14/19 15:30,53.2,88.1,31.2,0,159,2.8224,0.4704
0 to 24 h,7/14/19 15:45,53.3,87.5,30.8,0,223,2.8224,0.9408
0 to 24 h,7/14/19 16:00,52.4,87.5,30.8,0,220,2.8224,0.9408
0 to 24 h,7/14/19 16:15,52.2,87.5,30.8,0,235,1.8816,0.4704
0 to 24 h,7/14/19 16:30,53.2,87.6,30.9,0,225,2.352,0.9408
0 to 24 h,7/14/19 16:45,54.8,87.1,30.6,0,230,2.352,0.9408
0 to 24 h,7/14/19 17:00,54.4,87.2,30.7,0,227,2.352,0.4704
0 to 24 h,7/14/19 17:15,54.3,88.2,31.2,0,186,2.352,0.4704
0 to 24 h,7/14/19 17:30,54.8,87.6,30.9,0,200,1.4112,0.01
0 to 24 h,7/14/19 17:45,53.3,88.4,31.3,0,180,1.8816,0.4704
0 to 24 h,7/14/19 18:00,52.2,89.2,31.8,0,175,2.352,0.4704
0 to 24 h,7/14/19 18:15,52.6,89.3,31.8,0,155,1.8816,0.01
0 to 24 h,7/14/19 18:30,54.9,87.7,30.9,0,162,1.4112,0.01
0 to 24 h,7/14/19 18:45,56,86.7,30.4,0,175,3.2928,0.4704
0 to 24 h,7/14/19 19:00,58.2,85.8,29.9,0,172,1.4112,0.01
0 to 24 h,7/14/19 19:15,57.9,87.1,30.6,0,176,1.4112,0.01
0 to 24 h,7/14/19 19:30,58.8,87.1,30.6,0,184,0.9408,0.01
0 to 24 h,7/14/19 19:45,61.6,85.3,29.6,0,132,0.4704,0.01
0 to 24 h,7/14/19 20:00,68.3,82,27.8,0,112,0.9408,0.01
0 to 24 h,7/14/19 20:15,71.3,80.9,27.2,0,114,0.4704,0.01
0 to 24 h,7/14/19 20:30,73.6,79.6,26.4,0,114,0.9408,0.01
0 to 24 h,7/14/19 20:45,76.2,78.3,25.7,0,136,1.4112,0.01
0 to 24 h,7/14/19 21:00,74.5,77.9,25.5,0,124,1.8816,0.01
0 to 24 h,7/14/19 21:15,70.9,78,25.6,0,179,1.8816,0.4704
0 to 24 h,7/14/19 21:30,71.5,77.6,25.3,0,165,2.352,0.01
0 to 24 h,7/14/19 21:45,72.9,76.7,24.8,0,186,1.4112,0.01
0 to 24 h,7/14/19 22:00,74,76.3,24.6,0,170,1.4112,0.01
0 to 24 h,7/14/19 22:15,74.7,75.7,24.3,0,176,1.4112,0.01
0 to 24 h,7/14/19 22:30,75.5,75.3,24.1,0,173,2.352,0.01
0 to 24 h,7/14/19 22:45,76.6,74.6,23.7,0,183,1.8816,0.01
0 to 24 h,7/14/19 23:00,77.9,74.1,23.4,0,177,1.4112,0.01
0 to 24 h,7/14/19 23:15,78.9,73.6,23.1,0,172,0.9408,0.01
0 to 24 h,7/14/19 23:30,80.8,72.9,22.7,0,155,0.9408,0.01
0 to 24 h,7/14/19 23:45,80.6,72.7,22.6,0,160,1.4112,0.01
0 to 24 h,7/15/19 0:00,82.5,72.1,22.3,0,177,0.9408,0.01
0 to 24 h,7/15/19 0:15,83.5,71.6,22,0,166,0.9408,0.01
0 to 24 h,7/15/19 0:30,84.2,71.4,21.9,0,168,0.9408,0.01
0 to 24 h,7/15/19 0:45,84.8,71.2,21.8,0,172,1.4112,0.01
0 to 24 h,7/15/19 1:00,85.7,71,21.7,0,163,1.8816,0.01
0 to 24 h,7/15/19 1:15,87.1,70.6,21.4,0,176,1.4112,0.01
0 to 24 h,7/15/19 1:30,87.5,70.4,21.3,0,183,0.9408,0.01
0 to 24 h,7/15/19 1:45,87.8,70.1,21.2,0,155,1.4112,0.01
0 to 24 h,7/15/19 2:00,88.8,69.7,20.9,0,166,0.9408,0.01
0 to 24 h,7/15/19 2:15,89.8,69.5,20.8,0,153,0.4704,0.01
0 to 24 h,7/15/19 2:30,90.7,69.2,20.7,0,166,0.9408,0.01
0 to 24 h,7/15/19 2:45,91.3,69.1,20.6,0,160,0.9408,0.01
0 to 24 h,7/15/19 3:00,91.1,69.3,20.7,0,163,1.4112,0.4704
0 to 24 h,7/15/19 3:15,91.3,69.4,20.8,0,169,1.4112,0.01
0 to 24 h,7/15/19 3:30,92,69.1,20.6,0,163,1.4112,0.01
0 to 24 h,7/15/19 3:45,91.9,69.2,20.7,0,166,1.8816,0.4704
0 to 24 h,7/15/19 4:00,92.1,69.2,20.7,0,162,1.4112,0.4704
0 to 24 h,7/15/19 4:15,92.5,69.2,20.7,0,170,1.8816,0.4704
0 to 24 h,7/15/19 4:30,92.4,69.5,20.8,0,159,1.4112,0.01
0 to 24 h,7/15/19 4:45,92.6,69.6,20.9,0,177,1.4112,0.01
0 to 24 h,7/15/19 5:00,93.3,69.3,20.7,0,190,0.9408,0.01
0 to 24 h,7/15/19 5:15,95.1,68.4,20.2,0,208,0.9408,0.01
0 to 24 h,7/15/19 5:30,95.3,68.7,20.4,0,211,0.9408,0.01
0 to 24 h,7/15/19 5:45,95.7,68.8,20.4,0,214,0.9408,0.4704
0 to 24 h,7/15/19 6:00,95.4,69.3,20.7,0,217,1.4112,0.4704
0 to 24 h,7/15/19 6:15,94.8,70,21.1,0,225,1.4112,0.4704
0 to 24 h,7/15/19 6:30,94.7,70.1,21.2,0,217,1.4112,0.4704
0 to 24 h,7/15/19 6:45,94.1,70.7,21.5,0,213,2.352,0.9408
0 to 24 h,7/15/19 7:00,93.4,71.2,21.8,0,214,2.8224,1.4112
0 to 24 h,7/15/19 7:15,92.5,71.7,22.1,0,225,2.8224,1.4112
0 to 24 h,7/15/19 7:30,91.2,72.4,22.4,0,221,3.2928,1.4112
0 to 24 h,7/15/19 7:45,90,73,22.8,0,223,3.7632,1.8816
0 to 24 h,7/15/19 8:00,88.6,73.9,23.3,0,235,3.7632,1.4112
0 to 24 h,7/15/19 8:15,85.9,75.4,24.1,0,244,3.7632,1.8816
0 to 24 h,7/15/19 8:30,84.7,76,24.4,0,232,4.2336,1.8816
0 to 24 h,7/15/19 8:45,81.3,78,25.6,0,241,4.704,2.352
0 to 24 h,7/15/19 9:00,80.1,78.5,25.8,0,237,4.2336,2.352
0 to 24 h,7/15/19 9:15,81.4,77.7,25.4,0,234,4.2336,2.352
0 to 24 h,7/15/19 9:30,80.1,78.4,25.8,0,238,4.2336,2.352
0 to 24 h,7/15/19 9:45,78.7,79,26.1,0,241,5.1744,2.8224
0 to 24 h,7/15/19 10:00,77.4,79,26.1,0,238,4.2336,2.352
